"Mã khách hàng","Tên khách hàng","Ngày xuất hóa đơn","Ngày chốt chỉ số","Ngày thanh toán","Kỳ","Doanh thu","Số tiền sau thuế","Sản lượng","Sản lượng phản kháng","Đính kèm","Địa chỉ","Địa chỉ: Địa chỉ KCN"
"KCNTH-013","CÔNG TY TNHH FANTASY TECH","31/08/2025","31/08/2025","03/09/2025","3","422.010.176 ₫","422.010.176 ₫","183.764","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-011","CÔNG TY TNHH XULI CARGO CONTROL (VIET NAM)","31/08/2025","31/08/2025","05/09/2025","3","146.735.393 ₫","146.735.393 ₫","57.749","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTTI-003","CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ DOVEY","31/08/2025","31/08/2025","10/09/2025","2","50.994 ₫","55.074 ₫","24","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNTH-001","CÔNG TY ĐẦU TƯ HẠ TẦNG VÀ ĐÔ THỊ VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA - CTCP","31/08/2025","31/08/2025","05/09/2025","1","34.746.170 ₫","37.525.864 ₫","16.478","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-007","CÔNG TY TNHH SINHER TECHNOLOGY VIỆT NAM","31/08/2025","31/08/2025","05/09/2025","1","50.609.992 ₫","50.609.992 ₫","22.576","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-009A","CHI NHÁNH CÔNG TY TNHH XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HỢP NHẤT VIỆT NAM","31/08/2025","31/08/2025","10/09/2025","1","6.966.500 ₫","7.523.820 ₫","3.113","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-014","CÔNG TY TNHH ACCELOTECH VINA VIỆT NAM","31/08/2025","31/08/2025","05/09/2025","1","10.462.383 ₫","10.462.383 ₫","5.067","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-016","CÔNG TY CỔ PHẦN PHÁT TRIỂN  ĐẦU TƯ VÀ XÂY LẮP TIẾN THỊNH","31/08/2025","31/08/2025","05/09/2025","1","1.807.803 ₫","1.952.427 ₫","801","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTTI-001","CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG VIGLACERA – CN TỔNG CÔNG TY VIGLACERA","31/08/2025","31/08/2025","09/09/2025","1","23.951.944 ₫","25.868.100 ₫","6.614","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCN03-004","CÔNG TY CỔ PHẦN NHỰA SENDAI VIỆT NAM","31/08/2025","31/08/2025","03/09/2025","3","96.451.502 ₫","104.167.622 ₫","44.348","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-009","CÔNG TY CỔ PHẦN DỊCH VỤ GIAO HÀNG NHANH","31/08/2025","31/08/2025","08/09/2025","3","42.882.980 ₫","46.313.618 ₫","12.750","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNPĐ-002","CÔNG TY TNHH MAY MẶC AMP VIỆT NAM - PHONG ĐIỀN","31/08/2025","31/08/2025","03/09/2025","1","120.937.565 ₫","130.612.570 ₫","50.825","0","1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCNPĐ-001","CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA","31/08/2025","31/08/2025","09/09/2025","1","5.976.381 ₫","6.454.491 ₫","2.949","0","1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCN03-001","CÔNG TY CỔ PHẦN QUẢN LÝ KHU CÔNG NGHIỆP ECOLAND","31/08/2025","31/08/2025","05/09/2025","1","32.796.919 ₫","35.420.673 ₫","14.674","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-006","CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG MINH JP VIỆT NHẬT","31/08/2025","31/08/2025","05/09/2025","1","31.736.680 ₫","34.275.614 ₫","12.982","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-007","CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CÔNG NGHIỆP IP","31/08/2025","31/08/2025","17/09/2025","1","21.976.521 ₫","23.734.643 ₫","9.894","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-005","CÔNG TY CỔ PHẦN LOGOS VIỆT NAM HY 1","31/08/2025","31/08/2025","18/09/2025","1","49.706.128 ₫","53.682.618 ₫","14.973","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-008","CÔNG TY TNHH TAMAGAWA ELECTRONICS VIỆT NAM","31/08/2025","31/08/2025","11/09/2025","1","1.578.962 ₫","1.578.962 ₫","647","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTTI-002","CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM","31/08/2025","31/08/2025","04/09/2025","3","91.913.633 ₫","99.266.724 ₫","41.462","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","31/08/2025","31/08/2025","05/09/2025","3","210.917.382 ₫","210.917.382 ₫","93.624","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","31/08/2025","31/08/2025","05/09/2025","3","93.720.784 ₫","101.218.447 ₫","40.576","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","31/08/2025","31/08/2025","05/09/2025","3","2.470.341 ₫","2.470.341 ₫","0","18.582","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","31/08/2025","31/08/2025","08/09/2025","3","80.913.120 ₫","87.386.170 ₫","40.110","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","31/08/2025","31/08/2025","05/09/2025","3","234.240.586 ₫","234.240.586 ₫","106.477","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","31/08/2025","31/08/2025","03/09/2025","3","122.812.083 ₫","132.637.050 ₫","55.296","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-006","CÔNG TY TNHH BEST PACIFIC VIỆT NAM – CHI NHÁNH HƯNG YÊN","31/08/2025","31/08/2025","05/09/2025","3","221.569.259 ₫","221.569.259 ₫","102.845","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-005","CÔNG TY TNHH CÔNG NGHIỆP TITAN (HƯNG YÊN)","31/08/2025","31/08/2025","10/09/2025","1","28.831.764 ₫","31.138.305 ₫","8.358","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-008","CÔNG TY TNHH NHỰA VINSON","31/08/2025","31/08/2025","04/09/2025","1","157.317.375 ₫","169.902.765 ₫","73.686","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-007","CÔNG TY TNHH SML TRIMS & PACKAGING VIỆT NAM","31/08/2025","31/08/2025","05/09/2025","1","83.867.821 ₫","90.577.247 ₫","35.893","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-010"," CÔNG TY TNHH ĐIỆN TỬ Ô TÔ SAMMOON VIỆT NAM","31/08/2025","31/08/2025","06/09/2025","1","5.789.128 ₫","5.789.128 ₫","2.443","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-009","CÔNG TY TNHH DAECHANG VIỆT NAM","31/08/2025","31/08/2025","08/09/2025","1","39.910.898 ₫","43.103.770 ₫","16.139","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-011","CÔNG TY TNHH KYUNG BO POLYMER VINA","31/08/2025","31/08/2025","05/09/2025","1","3.669.186 ₫","3.962.721 ₫","1.569","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-012","CÔNG TY TNHH ESSENCE HOME","31/08/2025","31/08/2025","09/09/2025","1","9.558.852 ₫","10.323.560 ₫","4.272","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-013","CÔNG TY TNHH WGM","31/08/2025","31/08/2025","04/09/2025","1","33.180.101 ₫","35.834.509 ₫","13.745","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-015","CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG SOL E&C","31/08/2025","31/08/2025","17/09/2025","1","4.187.848 ₫","4.522.876 ₫","1.855","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-016","CÔNG TY TNHH CÔNG NGHIỆP VIETAPE","31/08/2025","31/08/2025","07/10/2025","1","4.448.000 ₫","4.803.840 ₫","1.751","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-008"," CÔNG TY TNHH HUM&C VINA","31/08/2025","31/08/2025","05/09/2025","2","116.088.153 ₫","116.088.153 ₫","52.785","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCN03-009","CÔNG TY CỔ PHẦN DỊCH VỤ GIAO HÀNG NHANH","20/08/2025","20/08/2025","25/08/2025","2","43.442.100 ₫","46.917.468 ₫","13.365","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTTI-002","CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM","20/08/2025","20/08/2025","26/08/2025","2","67.297.126 ₫","72.680.896 ₫","30.550","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCN03-004","CÔNG TY CỔ PHẦN NHỰA SENDAI VIỆT NAM","20/08/2025","20/08/2025","25/08/2025","2","87.831.346 ₫","94.857.854 ₫","40.840","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTH-013","CÔNG TY TNHH FANTASY TECH","20/08/2025","20/08/2025","23/08/2025","2","342.929.048 ₫","342.929.048 ₫","149.744","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-011","CÔNG TY TNHH XULI CARGO CONTROL (VIET NAM)","20/08/2025","20/08/2025","22/08/2025","2","113.910.275 ₫","113.910.275 ₫","44.846","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","20/08/2025","20/08/2025","25/08/2025","2","210.274.746 ₫","210.274.746 ₫","95.910","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","20/08/2025","20/08/2025","26/08/2025","2","2.449.055 ₫","2.449.055 ₫","0","18.870","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-006","CÔNG TY TNHH BEST PACIFIC VIỆT NAM – CHI NHÁNH HƯNG YÊN","20/08/2025","20/08/2025","25/08/2025","2","229.423.946 ₫","229.423.946 ₫","108.182","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","20/08/2025","20/08/2025","22/08/2025","2","132.775.844 ₫","143.397.912 ₫","60.200","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","20/08/2025","20/08/2025","26/08/2025","2","221.895.703 ₫","221.895.703 ₫","101.992","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","20/08/2025","20/08/2025","25/08/2025","2","112.857.000 ₫","121.885.560 ₫","61.800","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","20/08/2025","20/08/2025","25/08/2025","2","90.406.624 ₫","97.639.154 ₫","39.604","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-008"," CÔNG TY TNHH HUM&C VINA","15/08/2025","15/08/2025","20/08/2025","1","120.495.830 ₫","120.495.830 ₫","54.518","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTTI-003","CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ DOVEY","10/08/2025","10/08/2025","11/08/2025","1","19.318 ₫","20.863 ₫","0","57","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNTH-011","CÔNG TY TNHH XULI CARGO CONTROL (VIET NAM)","10/08/2025","10/08/2025","14/08/2025","1","108.866.654 ₫","108.866.654 ₫","43.133","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-013","CÔNG TY TNHH FANTASY TECH","10/08/2025","10/08/2025","11/08/2025","1","327.112.394 ₫","327.112.394 ₫","142.520","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTTI-002","CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM","10/08/2025","10/08/2025","14/08/2025","1","85.310.159 ₫","92.134.972 ₫","38.270","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNTTI-003","CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ DOVEY","10/08/2025","10/08/2025","11/08/2025","1","197.926 ₫","213.760 ₫","82","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCN03-004","CÔNG TY CỔ PHẦN NHỰA SENDAI VIỆT NAM","10/08/2025","10/08/2025","15/08/2025","1","95.511.084 ₫","103.151.971 ₫","44.202","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-009","CÔNG TY CỔ PHẦN DỊCH VỤ GIAO HÀNG NHANH","10/08/2025","10/08/2025","14/08/2025","1","40.176.630 ₫","43.390.760 ₫","11.960","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","10/08/2025","10/08/2025","15/08/2025","1","2.691.764 ₫","2.691.764 ₫","0","20.690","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","10/08/2025","10/08/2025","12/08/2025","1","100.963.536 ₫","109.040.619 ₫","43.620","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","10/08/2025","10/08/2025","14/08/2025","1","111.694.620 ₫","120.630.190 ₫","59.190","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","10/08/2025","10/08/2025","15/08/2025","1","246.951.024 ₫","246.951.024 ₫","113.424","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","10/08/2025","10/08/2025","14/08/2025","1","142.850.808 ₫","154.278.873 ₫","64.179","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-006","CÔNG TY TNHH BEST PACIFIC VIỆT NAM – CHI NHÁNH HƯNG YÊN","10/08/2025","10/08/2025","15/08/2025","1","270.637.351 ₫","270.637.351 ₫","125.782","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","10/08/2025","10/08/2025","15/08/2025","1","260.920.836 ₫","260.920.836 ₫","117.252","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCN03-005","CÔNG TY CỔ PHẦN LOGOS VIỆT NAM HY 1","31/07/2025","31/07/2025","15/08/2025","1","76.209.522 ₫","82.306.284 ₫","21.755","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-007","CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CÔNG NGHIỆP IP","31/07/2025","31/07/2025","08/08/2025","1","17.717.157 ₫","19.134.530 ₫","7.860","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-004","CÔNG TY CỔ PHẦN NHỰA SENDAI VIỆT NAM","31/07/2025","31/07/2025","04/08/2025","1","245.815.126 ₫","265.480.336 ₫","114.472","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-006","CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG MINH JP VIỆT NHẬT","31/07/2025","31/07/2025","02/08/2025","1","33.119.081 ₫","35.768.607 ₫","13.517","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-001","CÔNG TY CỔ PHẦN QUẢN LÝ KHU CÔNG NGHIỆP ECOLAND","31/07/2025","31/07/2025","05/08/2025","1","32.568.449 ₫","35.173.925 ₫","14.741","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTH-014","CÔNG TY TNHH ACCELOTECH VINA VIỆT NAM","31/07/2025","31/07/2025","05/08/2025","1","15.480.850 ₫","15.480.850 ₫","7.033","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-013","CÔNG TY TNHH FANTASY TECH","31/07/2025","31/07/2025","04/08/2025","1","511.122.171 ₫","511.122.171 ₫","217.644","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-003A","CÔNG TY TNHH CÔNG NGHIỆP BE BRIGHT","31/07/2025","31/07/2025","07/08/2025","1","33.550.212 ₫","36.234.229 ₫","14.916","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-009A","CHI NHÁNH CÔNG TY TNHH XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HỢP NHẤT VIỆT NAM","31/07/2025","31/07/2025","12/08/2025","1","5.916.833 ₫","6.390.180 ₫","2.657","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-007","CÔNG TY TNHH SINHER TECHNOLOGY VIỆT NAM","31/07/2025","31/07/2025","05/08/2025","1","48.579.872 ₫","48.579.872 ₫","21.704","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-005"," CÔNG TY CỔ PHẦN FTA E&C VIỆT NAM","31/07/2025","31/07/2025","04/08/2025","1","1.412.857 ₫","1.525.886 ₫","769","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-001","CÔNG TY ĐẦU TƯ HẠ TẦNG VÀ ĐÔ THỊ VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA - CTCP","31/07/2025","31/07/2025","04/08/2025","1","34.185.425 ₫","36.920.259 ₫","16.304","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTTI-003","CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ DOVEY","31/07/2025","31/07/2025","01/08/2025","2","2.939.606 ₫","3.174.774 ₫","1.253","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNTH-011","CÔNG TY TNHH XULI CARGO CONTROL (VIET NAM)","31/07/2025","31/07/2025","01/08/2025","2","158.695.069 ₫","158.695.069 ₫","64.807","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-008"," CÔNG TY TNHH HUM&C VINA","31/07/2025","31/07/2025","05/08/2025","2","82.526.813 ₫","82.526.813 ₫","37.790","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCN03-009","CÔNG TY CỔ PHẦN DỊCH VỤ GIAO HÀNG NHANH","31/07/2025","31/07/2025","04/08/2025","3","30.900.100 ₫","33.372.108 ₫","9.180","0","1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTTI-002","CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM","31/07/2025","31/07/2025","05/08/2025","3","72.863.045 ₫","78.692.089 ₫","33.071","0","1","KCNTTI","KCN Thuận Thành I, xã Trạm Lộ, tỉnh Bắc Ninh"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","31/07/2025","31/07/2025","05/08/2025","3","148.280.928 ₫","148.280.928 ₫","65.418","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-013","CÔNG TY TNHH WGM","31/07/2025","31/07/2025","05/08/2025","1","36.382.965 ₫","39.293.602 ₫","15.564","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-012","CÔNG TY TNHH ESSENCE HOME","31/07/2025","31/07/2025","07/08/2025","1","5.511.066 ₫","5.951.951 ₫","2.448","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-011","CÔNG TY TNHH KYUNG BO POLYMER VINA","31/07/2025","31/07/2025","04/08/2025","1","4.266.306 ₫","4.607.610 ₫","1.818","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-009","CÔNG TY TNHH DAECHANG VIỆT NAM","31/07/2025","31/07/2025","05/08/2025","1","27.595.208 ₫","29.802.825 ₫","11.144","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-010"," CÔNG TY TNHH ĐIỆN TỬ Ô TÔ SAMMOON VIỆT NAM","31/07/2025","31/07/2025","06/08/2025","1","8.630.874 ₫","8.630.874 ₫","3.636","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-007","CÔNG TY TNHH SML TRIMS & PACKAGING VIỆT NAM","31/07/2025","31/07/2025","05/08/2025","1","90.522.085 ₫","97.763.852 ₫","38.554","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-008","CÔNG TY TNHH NHỰA VINSON","31/07/2025","31/07/2025","01/08/2025","1","126.218.714 ₫","136.316.211 ₫","59.309","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-006","CÔNG TY TNHH BEST PACIFIC VIỆT NAM – CHI NHÁNH HƯNG YÊN","31/07/2025","31/07/2025","05/08/2025","1","683.775.242 ₫","683.775.242 ₫","322.550","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-005","CÔNG TY TNHH CÔNG NGHIỆP TITAN (HƯNG YÊN)","31/07/2025","31/07/2025","05/08/2025","1","24.952.652 ₫","26.948.864 ₫","7.201","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","31/07/2025","31/07/2025","04/08/2025","3","137.109.020 ₫","148.077.742 ₫","61.127","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","31/07/2025","31/07/2025","04/08/2025","3","245.159.459 ₫","245.159.459 ₫","111.551","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","31/07/2025","31/07/2025","06/08/2025","3","116.606.790 ₫","125.935.333 ₫","63.060","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","31/07/2025","31/07/2025","05/08/2025","3","90.768.076 ₫","98.029.522 ₫","39.784","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNPĐ-001","CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA","31/07/2025","31/07/2025","02/08/2025","1","6.259.460 ₫","6.760.217 ₫","3.158","0","1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCNPĐ-002","CÔNG TY TNHH MAY MẶC AMP VIỆT NAM - PHONG ĐIỀN","31/07/2025","31/07/2025","02/08/2025","1","128.863.027 ₫","139.172.069 ₫","54.055","0","1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","31/07/2025","31/07/2025","04/08/2025","3","3.494.509 ₫","3.494.509 ₫","0","20.194","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
